num_lines,20.0,26.0,30.0,34.5,52.0,31.79121,30.01852
empty_lines_ratio,0.06977,0.13575,0.15909,0.19231,0.31884,0.15508,0.1742
avg_len_lines,14.0686,19.48227,21.0021,22.54384,29.85538,20.76929,21.35336
num_line_com,0.0,0.0,0.0,0.0,19.0,0.36264,0.59259
avg_len_line_com,0.0,0.0,0.0,0.0,67.5,2.60295,5.78143
num_block_com,0.0,0.0,0.0,0.0,1.0,0.03297,0.00926
avg_len_block_com,0.0,0.0,0.0,0.0,294.0,9.27473,1.81481
num_variables,1.0,4.0,5.0,6.0,11.0,5.08791,4.68519
avg_len_variables,1.0,1.6125,2.2,3.25,9.6,2.19353,2.84802
num_if,0.0,0.0,0.0,2.0,3.0,1.0,0.57407
num_for,0.0,2.0,2.0,3.0,7.0,2.40659,2.0
num_do,0.0,0.0,0.0,0.0,0.0,0.0,0.0
num_while,0.0,0.0,0.0,0.0,2.0,0.04396,0.01852
num_switch,0.0,0.0,0.0,0.0,0.0,0.0,0.0
num_cast,0.0,0.0,0.0,0.0,0.0,0.0,0.0
