num_lines,empty_lines_ratio,avg_len_lines,num_line_com,avg_len_line_com,num_block_com,avg_len_block_com,num_variables,avg_len_variables,num_if,num_for,num_do,num_while,num_switch,num_cast,cond_space_ratio,bracket_line_ratio,class
35.0,0.125,21.53405017921147,0.0,0.0,0.0,0.0,6.0,2.0,2.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
24.0,0.1428571428571428,20.119760479041915,2.0,19.0,0.0,0.0,3.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.5,0.0
26.0,0.1333333333333333,22.77061855670103,0.0,0.0,0.0,0.0,6.0,2.8333333333333335,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
27.0,0.15625,19.52037252619325,0.0,0.0,0.0,0.0,5.0,2.4,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.6666666666666666,0.0
33.0,0.1081081081081081,23.16680361544782,0.0,0.0,0.0,0.0,6.0,2.1666666666666665,2.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
30.0,0.1176470588235294,21.149606299212596,0.0,0.0,0.0,0.0,4.0,1.0,2.0,1.0,0.0,2.0,0.0,0.0,0.8,1.0,0.0
32.0,0.1111111111111111,18.81533101045296,0.0,0.0,0.0,0.0,5.0,2.2,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
38.0,0.1914893617021276,19.545863815419246,0.0,0.0,0.0,0.0,6.0,1.8333333333333333,2.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
36.0,0.1627906976744186,22.853341985723556,0.0,0.0,0.0,0.0,5.0,2.8,2.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
37.0,0.1590909090909091,19.462060456508326,0.0,0.0,1.0,285.0,3.0,3.6666666666666665,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.4,0.0
25.0,0.2647058823529412,15.403091557669441,0.0,0.0,0.0,0.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
31.0,0.225,19.203899268887085,0.0,0.0,0.0,0.0,3.0,1.6666666666666667,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
24.0,0.2258064516129032,18.886024423337858,0.0,0.0,0.0,0.0,3.0,3.6666666666666665,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
29.0,0.1714285714285714,20.50049554013875,0.0,0.0,0.0,0.0,4.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
39.0,0.1333333333333333,20.891938250428815,0.0,0.0,0.0,0.0,7.0,1.8571428571428572,1.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
30.0,0.1666666666666666,24.0,0.0,0.0,0.0,0.0,7.0,4.857142857142857,0.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
29.0,0.1470588235294117,17.60652395514781,0.0,0.0,0.0,0.0,5.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
