num_lines,empty_lines_ratio,avg_len_lines,num_line_com,avg_len_line_com,num_block_com,avg_len_block_com,num_variables,avg_len_variables,num_if,num_for,num_do,num_while,num_switch,num_cast,halstead_volume,halstead_difficult,halstead_effort,class
35.0,0.125,21.53405017921147,0.0,0.0,0.0,0.0,6.0,2.0,2.0,3.0,0.0,0.0,0.0,0.0,380.7356171694285,9.631578947368421,3667.0851548423902,0.0
24.0,0.1428571428571428,20.119760479041915,2.0,19.0,0.0,0.0,3.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,214.05271769459029,4.588235294117647,982.1242341281201,0.0
26.0,0.1333333333333333,22.77061855670103,0.0,0.0,0.0,0.0,6.0,2.8333333333333335,0.0,2.0,0.0,0.0,0.0,0.0,310.91078368816466,4.24,1318.2617228378183,1.0
27.0,0.15625,19.52037252619325,0.0,0.0,0.0,0.0,5.0,2.4,0.0,2.0,0.0,0.0,0.0,0.0,280.9441919741497,5.764705882352941,1619.5606360862748,0.0
33.0,0.1081081081081081,23.16680361544782,0.0,0.0,0.0,0.0,6.0,2.1666666666666665,2.0,3.0,0.0,0.0,0.0,0.0,371.3819625584137,6.421052631578948,2384.6631280066567,1.0
30.0,0.1176470588235294,21.149606299212596,0.0,0.0,0.0,0.0,4.0,1.0,2.0,1.0,0.0,2.0,0.0,0.0,320.426077094456,8.833333333333334,2830.4303476676946,0.0
32.0,0.1111111111111111,18.81533101045296,0.0,0.0,0.0,0.0,5.0,2.2,1.0,2.0,0.0,0.0,0.0,0.0,329.7137894740054,5.6,1846.3972210544302,0.0
38.0,0.1914893617021276,19.545863815419246,0.0,0.0,0.0,0.0,6.0,1.8333333333333333,2.0,3.0,0.0,0.0,0.0,0.0,352.5329788605819,8.842105263157894,3117.1337078198817,0.0
36.0,0.1627906976744186,22.853341985723556,0.0,0.0,0.0,0.0,5.0,2.8,2.0,3.0,0.0,0.0,0.0,0.0,357.62707505625025,6.2105263157894735,2221.0523608756594,0.0
37.0,0.1590909090909091,19.462060456508326,0.0,0.0,1.0,285.0,3.0,3.6666666666666665,0.0,1.0,0.0,0.0,0.0,0.0,224.0081885617168,4.9411764705882355,1106.8639905402476,0.0
